tconst	ordering	nconst	category	job	characters
tt0000380	3	nm0674518	writer	tale	null
tt0000381	1	nm0168621	actor	null	null
tt0000381	2	nm0002615	producer	producer	null
tt0000382	1	nm0005717	director	null	null
tt0000383	1	nm0005717	director	null	null
tt0000384	1	nm0349785	director	null	null
tt0000385	1	nm0349785	director	null	null
tt0000386	1	nm0349785	director	null	null
tt0000387	1	nm5394591	actor	null	['Attendant Bearing King Edward's Sword']
tt0000387	2	nm0617588	director	null	null
tt0000387	3	nm0881616	director	null	null
tt0000388	1	nm0260089	actress	null	null
tt0000388	2	nm0349785	director	null	null
tt0000389	1	nm0349785	director	null	null
tt0000390	1	nm0349785	director	null	null
tt0000391	1	nm0349785	director	null	null
tt0000392	1	nm0095816	director	null	null
tt0000392	2	nm0666972	producer	producer	null
tt0000393	1	nm0349785	director	null	null
tt0000394	1	nm0349785	director	null	null
tt0000395	1	nm0349785	director	null	null
tt0000396	1	nm0349785	director	null	null
tt0000397	1	nm0349785	director	null	null
tt0000398	1	nm0349785	director	null	null
tt0000399	1	nm0924920	actor	null	['Farmer']
tt0000399	2	nm0925513	actor	null	['Jack']
tt0000399	3	nm2092030	director	null	null
tt0000399	4	nm0692105	director	null	null
tt0000400	1	nm0349785	director	null	null
tt0000401	1	nm0349785	director	null	null
tt0000402	1	nm0338379	actor	null	null
tt0000402	2	nm0808310	director	null	null
tt0000403	1	nm0349785	director	null	null
tt0000404	1	nm0349785	director	null	null
tt0000405	1	nm0349785	director	null	null
tt0000406	1	nm0035502	cinematographer	null	null
tt0000407	1	nm0005717	director	null	null
tt0000408	1	nm0349785	director	null	null
tt0000409	1	nm0349785	actress	null	null
tt0000409	2	nm4905952	actress	null	null
tt0000409	3	nm4906549	actress	null	null
tt0000410	1	nm0035502	director	null	null
tt0000411	1	nm0349785	director	null	null
tt0000412	1	nm0555522	director	null	null
tt0000413	1	nm0617588	actor	null	['The Blonde Miser','Thief']
tt0000414	1	nm0542567	actor	null	['Uncle Josh']
tt0000414	2	nm0692105	director	null	null
tt0000415	1	nm0349785	director	null	null
tt0000416	1	nm0954087	director	null	null
tt0000416	2	nm0957652	writer	novel 'L'Assommoir'	null
tt0000417	1	nm0617588	actor	null	['Prof. Barbenfouillis','The Moon']
tt0000417	2	nm0029244	actor	null	['Astronomer - Nostradamus']
tt0000417	3	nm0076933	actress	null	['Lady in the Moon']
tt0000417	4	nm1215996	actor	null	['Astronomer- Alcofrisbas']
tt0000417	5	nm0894523	writer	novel 'De la Terre à la Lune'	null
tt0000417	6	nm0920229	writer	novel 'First Men in the Moon'	null
tt0000417	7	nm0242155	composer	null	null
tt0000417	8	nm0324073	composer	null	null
tt0000417	9	nm4491570	composer	null	null
tt0000418	1	nm0353576	director	null	null
tt0000419	1	nm0349785	director	null	null
tt0000420	1	nm0164281	actress	null	['Alice']
tt0000420	2	nm0378408	actor	null	['Frog']
tt0000420	3	nm1012587	actor	null	['Large Dog']
tt0000420	4	nm0265714	actor	null	['Card']
tt0000420	5	nm0832948	director	null	null
tt0000420	6	nm0140902	writer	novel 'Alice's Adventures in Wonderland'	null
tt0000421	1	nm0954087	actor	null	null
tt0000421	2	nm0349785	director	null	null
tt0000422	1	nm0954087	actor	null	['Traveler']
tt0000422	2	nm0349785	director	null	null
tt0000423	1	nm0617588	actor	null	null
tt0000424	1	nm0349785	director	null	null
tt0000425	1	nm0168621	actor	null	null
tt0000425	2	nm0783152	producer	producer	null
tt0000426	1	nm0168621	actor	null	null
tt0000426	2	nm0002615	producer	producer	null
tt0000427	1	nm0349785	director	null	null
tt0000428	1	nm0005717	director	null	null
tt0000429	1	nm0349785	director	null	null
tt0000430	1	nm10102653	actor	null	['Chess Player']
tt0000430	2	nm0666972	director	null	null
tt0000431	1	nm0349785	director	null	null
tt0000432	1	nm0954087	actor	null	null
tt0000432	2	nm0349785	director	null	null
tt0000433	1	nm0349785	director	null	null
tt0000434	1	nm2940350	actress	null	['Dorothy']
tt0000434	2	nm0808310	director	null	null
tt0000435	1	nm0349785	director	null	null
tt0000436	1	nm0095816	director	null	null
tt0000436	2	nm0666972	director	null	null
tt0000437	1	nm0349785	director	null	null
tt0000438	1	nm0349785	director	null	null
tt0000439	10	nm0302368	actor	null	['Little Boy']
tt0000439	1	nm0001908	actor	null	['Bandit','Shot Passenger','Tenderfoot Dancer']
tt0000439	2	nm0007625	actor	null	['Sheriff']
tt0000439	3	nm0055607	actor	null	null
tt0000439	4	nm0055661	actor	null	['Bandit Who Fires at Camera']
tt0000439	5	nm0692105	director	null	null
tt0000439	6	nm1145809	writer	story	null
tt0000439	7	nm0807466	cinematographer	null	null
tt0000439	8	nm0131750	actor	null	['Sheriff']
tt0000439	9	nm2313241	actor	null	['Fourth Bandit']
tt0000440	1	nm0617588	actor	null	['Musketeer']
tt0000441	1	nm0159015	director	null	null
tt0000441	2	nm0842605	writer	novel 'The Travels of Gulliver'	null
tt0000442	1	nm0622273	actress	null	['Barnemordersken']
tt0000442	2	nm1854449	actor	null	null
tt0000442	3	nm0253298	director	null	null
tt0000442	4	nm1856940	writer	writer	null
tt0000442	5	nm1857036	writer	writer	null
tt0000443	1	nm0742777	director	null	null
tt0000443	2	nm3887135	writer	scenario	null
tt0000443	3	nm0519303	writer	poem 'The Song of Hiawatha'	null
tt0000444	1	nm0954087	actor	null	['Magician']
tt0000444	2	nm0349785	director	null	null
tt0000445	1	nm0349785	director	null	null
tt0000446	1	nm0567363	director	null	null
tt0000447	1	nm0692105	actor	null	['Policeman']
tt0000447	2	nm0891119	actress	null	['The Girl']
tt0000447	3	nm0924475	actor	null	['The Fireman']
tt0000447	4	nm0924920	actor	null	['Fire Chief']
tt0000447	5	nm2092030	director	null	null
tt0000448	1	nm0349785	director	null	null
tt0000449	1	nm0349785	director	null	null
tt0000450	1	nm0349785	director	null	null
tt0000451	1	nm0809419	actress	null	['Mary Jane']
tt0000451	2	nm0808310	director	null	null
tt0000452	1	nm0001908	actor	null	['Messenger Boy']
tt0000452	2	nm0692105	director	null	null
tt0000453	1	nm0349785	director	null	null
tt0000454	1	nm0349785	director	null	null
tt0000455	1	nm0617588	actor	null	['The Melomaniac']
tt0000456	1	nm0005658	cinematographer	null	null
tt0000457	1	nm0349785	director	null	null
tt0000458	1	nm0349785	director	null	null
tt0000459	1	nm0692105	cinematographer	null	null
tt0000460	1	nm0567363	director	null	null
tt0000461	1	nm0349785	director	null	null
tt0000462	1	nm0349785	director	null	null
tt0000463	1	nm0005717	director	null	null
tt0000464	1	nm0420198	actor	null	['Rip Van Winkle']
tt0000464	2	nm0005690	director	null	null
tt0000464	3	nm0099105	writer	play	null
tt0000464	4	nm0410331	writer	story	null
tt0000465	1	nm0617588	actor	null	['Prince Bel-Azor']
tt0000465	2	nm9473330	actress	null	['Princess Azurine']
tt0000465	3	nm0076933	actress	null	['Aurora']
tt0000465	4	nm0214243	actor	null	['Role']
tt0000465	5	nm1340310	writer	story 'La Biche au bois'	null
tt0000465	6	nm0243651	actor	null	['Extra']
tt0000466	1	nm0349785	director	null	null
tt0000467	1	nm0349785	director	null	null
tt0000468	1	nm0349785	director	null	null
tt0000469	1	nm0808310	director	null	null
tt0000470	1	nm0349785	director	null	null
tt0000471	1	nm0692105	director	null	null
tt0000471	2	nm0832952	writer	novel 'Uncle Tom's Cabin'	null
tt0000472	1	nm10342565	actor	null	['Arthur Shelby']
tt0000472	2	nm0002615	actor	null	['Simon Legree']
tt0000472	3	nm0832952	writer	novel 'Uncle Tom's Cabin'	null
tt0000473	1	nm0349785	director	null	null
tt0000474	1	nm0349785	director	null	null
tt0000475	1	nm3345408	actor	null	null
tt0000475	2	nm0095816	director	null	null
tt0000475	3	nm0666972	producer	producer	null
tt0000476	1	nm0349785	director	null	null
tt0000477	1	nm5121267	actor	null	null
tt0000477	2	nm5121475	actor	null	null
tt0000477	3	nm1597962	actor	null	null
tt0000477	4	nm0349785	director	null	null
tt0000478	1	nm0172118	director	null	null
tt0000479	1	nm0666972	director	null	null
tt0000480	1	nm0617588	actor	null	null
tt0000481	1	nm0666972	producer	producer	null
tt0000482	1	nm0349785	director	null	null
tt0000483	1	nm0349785	director	null	null
tt0000484	1	nm0349785	director	null	null
tt0000485	1	nm0349785	director	null	null
tt0000486	1	nm0659947	actor	null	['Monsieur Beaucaire']
tt0000486	2	nm1173635	actor	null	null
tt0000486	3	nm0069325	actress	null	null
tt0000486	4	nm0085865	actor	null	null
tt0000486	5	nm0850483	writer	novel	null
tt0000486	6	nm0085870	actress	null	null
tt0000487	1	nm0523316	actress	null	['Little Girl (Telegrapher's daughter)']
tt0000487	2	nm0002615	director	null	null
tt0000487	3	nm0292418	cinematographer	null	null
tt0000488	10	nm0177886	actor	null	['The Minister']
tt0000488	1	nm0298300	actor	null	['Joe, the Newsboy']
tt0000488	2	nm0065035	actress	null	['Joe's Grandmother']
tt0000488	3	nm0250480	actor	null	['Manager of the Fresh Air Fund']
tt0000488	4	nm0422465	actress	null	['Committee Woman']
tt0000488	5	nm0789748	director	null	null
tt0000488	6	nm0794919	writer	null	null
tt0000488	7	nm0588295	actress	null	['Committee Woman']
tt0000488	8	nm1096358	actress	null	['Committee Woman']
tt0000488	9	nm0259860	actress	null	['Committee Woman']
tt0000489	1	nm0349785	director	null	null
tt0000490	1	nm0349785	director	null	null
tt0000491	1	nm0005658	cinematographer	null	null
tt0000492	1	nm0567363	director	null	null
tt0000492	2	nm0005658	cinematographer	null	null
tt0000493	1	nm0349785	director	null	null
tt0000494	1	nm0349785	director	null	null
tt0000495	1	nm0954087	director	null	null
tt0000495	2	nm0159015	cinematographer	null	null
tt0000496	1	nm0007625	cinematographer	null	null
tt0000496	2	nm0692105	cinematographer	null	null
tt0000498	1	nm1012587	actor	null	['Rover the dog']
tt0000498	2	nm0164281	actress	null	['Nursemaid']
tt0000498	3	nm0378407	actress	null	['The baby']
tt0000498	4	nm0378408	actor	null	['Harassed father']
tt0000498	5	nm0280432	director	null	null
tt0000498	6	nm1539443	writer	story	null
tt0000498	7	nm1428608	actress	null	['Gypsy woman']
tt0000498	8	nm0809910	actor	null	['Soldier']
tt0000499	1	nm0617588	actor	null	['Mabouloff']
tt0000499	2	nm0016317	actress	null	['Madame Latrouille']
tt0000499	3	nm0194945	actress	null	['Villager at seaport']
tt0000499	4	nm8706003	actress	null	['Nurse in Swiss hospital']
tt0000499	5	nm0894523	writer	play 'Le Voyage a travers l'Impossible'	null
tt0000499	6	nm0257866	writer	play 'Le Voyage a travers l'Impossible'	null
tt0000500	1	nm0005658	cinematographer	null	null
tt0000501	1	nm0001908	actor	null	['Sherlock Holmes']
tt0000501	2	nm1173635	actor	null	['John H. Watson, M.D.']
tt0000501	3	nm0659947	actor	null	['Bandit']
tt0000501	4	nm0792727	actor	null	['Bandit']
tt0000501	5	nm0085865	director	null	null
tt0000501	6	nm0236279	writer	story	null
tt0000501	7	nm0509478	writer	scenario	null
tt0000502	1	nm0215752	actor	null	null
tt0000502	2	nm0252720	actor	null	null
tt0000502	3	nm0063413	director	null	null
tt0000502	4	nm0657268	writer	null	null
tt0000502	5	nm0675388	writer	null	null
tt0000503	1	nm0185426	director	null	null
tt0000504	1	nm0185426	director	null	null
tt0000505	1	nm0214243	actor	null	null
tt0000505	2	nm0340020	actor	null	null
tt0000505	3	nm0537222	actor	null	null
tt0000505	4	nm0097918	actor	null	null
tt0000505	5	nm1563072	director	null	null
tt0000505	6	nm0381874	director	null	null
tt0000506	1	nm0353576	director	null	null
tt0000507	1	nm0005658	cinematographer	null	null
tt0000508	1	nm0185426	director	null	null
tt0000509	1	nm0214243	actor	null	null
tt0000509	2	nm1563072	director	null	null
tt0000509	3	nm0381874	writer	null	null
tt0000509	4	nm0159015	cinematographer	null	null
tt0000510	1	nm0063413	director	null	null
tt0000511	1	nm0065393	actress	null	['Esmeralda']
tt0000511	2	nm0903455	actor	null	['Quasimodo']
tt0000511	3	nm0349785	director	null	null
tt0000511	4	nm0419327	director	co-director	null
tt0000511	5	nm0401076	writer	novel 'Notre Dame de Paris'	null
tt0000511	6	nm0094975	cinematographer	null	null
tt0000511	7	nm0579494	production_designer	null	null
tt0000512	1	nm0005658	cinematographer	null	null
tt0000513	1	nm0185426	director	null	null
tt0000514	1	nm0016071	actor	null	null
tt0000514	2	nm0602663	actor	null	null
tt0000514	3	nm0661362	actor	null	null
tt0000514	4	nm0684029	actor	null	null
tt0000514	5	nm0005717	director	null	null
tt0000514	6	nm0722712	actor	null	null
tt0000514	7	nm0813578	actor	null	null
tt0000514	8	nm0896066	actor	null	null
tt0000514	9	nm0899837	actress	null	null
tt0000515	1	nm0159015	director	null	null
tt0000516	1	nm0159015	actor	null	['Bertrand']
tt0000516	2	nm0558863	actress	null	['Laure']
tt0000517	1	nm0063413	director	null	null
tt0000518	1	nm0140054	actor	null	null
tt0000518	2	nm0159015	writer	null	null
tt0000519	1	nm1671089	actress	null	['The Kleptomaniac, Mrs. Banker']
tt0000519	2	nm1670497	actor	null	['Store Detective']
tt0000519	3	nm1215402	actress	null	['Female Detective']
tt0000519	4	nm1670913	actor	null	['Superintendant, Department Store']
tt0000519	5	nm0692105	director	null	null
tt0000519	6	nm0250983	actress	null	['The Thief']
tt0000519	7	nm0728289	actor	null	['Police Court Judge']
tt0000519	8	nm0183817	actress	null	['Justice']
tt0000520	1	nm0353575	actor	null	['Charles Peace']
tt0000520	2	nm2329855	actress	null	['Mrs. Dyson']
tt0000520	3	nm2326707	actress	null	['Peace's Accomplice']
tt0000520	4	nm2331275	actor	null	['Dyson']
tt0000520	5	nm0353576	director	null	null
tt0000520	6	nm2329944	actor	null	['First Policeman']
tt0000520	7	nm2485827	actor	null	['Second Policeman']
tt0000520	8	nm4749111	actor	null	['Third Policeman']
tt0000520	9	nm2332493	actress	null	['Peace's Mother']
tt0000521	1	nm0692105	director	null	null
tt0000522	1	nm0005658	cinematographer	null	null
tt0000523	1	nm0005658	cinematographer	null	null
tt0000524	1	nm0005658	director	null	null
tt0000524	2	nm13890136	composer	null	null
tt0000525	1	nm0358349	actor	null	['Joe - le cow-boy']
tt0000525	2	nm0595321	actor	null	null
tt0000525	3	nm0196787	actress	null	null
tt0000525	4	nm0719480	actor	null	null
tt0000525	5	nm0243796	director	null	null
tt0000525	6	nm0357890	actor	null	null
tt0000525	7	nm0014656	actor	null	null
tt0000526	1	nm0005658	cinematographer	null	null
tt0000527	1	nm0185426	director	null	null
tt0000528	1	nm0792727	actor	null	['Raffles']
tt0000528	2	nm0085870	actress	null	null
tt0000528	3	nm0001908	director	null	null
tt0000528	4	nm0696078	writer	play 'Raffles, the Amateur Cracksman'	null
tt0000528	5	nm0395216	writer	novel	null
tt0000528	6	nm0734207	producer	producer	null
tt0000528	7	nm0807235	cinematographer	null	null
tt0000529	1	nm0005658	cinematographer	null	null
tt0000530	1	nm0159015	director	null	null
tt0000531	1	nm0140054	actor	null	null
tt0000531	2	nm0159015	director	null	null
tt0000532	1	nm0185426	director	null	null
tt0000533	1	nm0783152	producer	producer	null
tt0000534	1	nm0095816	director	null	null
tt0000534	2	nm0666972	producer	producer	null
tt0000535	1	nm0422149	actress	null	['Anarkistens kone']
tt0000535	2	nm0488932	actor	null	['Anarkisten']
tt0000535	3	nm0333175	cinematographer	null	null
tt0000535	4	nm0470250	production_designer	null	null
tt0000536	1	nm0691995	actress	null	null
tt0000536	2	nm0691996	actress	null	null
tt0000536	3	nm6758605	director	null	null
tt0000536	4	nm0582268	director	null	null
tt0000537	1	nm0005658	cinematographer	null	null
tt0000538	1	nm0005717	director	null	null
tt0000539	1	nm0647763	director	null	null
tt0000541	1	nm0422149	actress	null	null
tt0000541	2	nm0023121	actor	null	null
tt0000541	3	nm0676941	actor	null	null
tt0000541	4	nm0488932	actor	null	null
tt0000541	5	nm0630737	writer	null	null
tt0000541	6	nm0084830	cinematographer	null	null
tt0000542	1	nm0261789	actress	null	null
tt0000542	2	nm0602663	actor	null	null
tt0000542	3	nm0896066	actor	null	null
tt0000542	4	nm1050849	actor	null	null
tt0000542	5	nm0005717	director	null	null
tt0000543	1	nm0647763	director	null	null
tt0000543	2	nm0084830	cinematographer	null	null
tt0000543	3	nm0333175	cinematographer	null	null
tt0000544	1	nm1210247	director	null	null
tt0000544	2	nm0666972	producer	producer	null
tt0000545	1	nm0005658	cinematographer	null	null
tt0000546	1	nm0106151	actor	null	['The Rarebit Fiend']
tt0000546	2	nm0567363	director	null	null
tt0000546	3	nm0692105	director	null	null
tt0000546	4	nm0565560	writer	comic strip	null
tt0000547	1	nm0005717	director	null	null
tt0000548	1	nm0488932	actor	null	['Fisker']
tt0000548	2	nm0422149	actress	null	['hans Kone']
tt0000548	3	nm0526168	actor	null	null
tt0000548	4	nm0647763	writer	null	null
tt0000548	5	nm0333175	cinematographer	null	null
tt0000549	1	nm0676941	actor	null	['Petersen']
tt0000549	2	nm0488932	director	null	null
tt0000549	3	nm0333175	cinematographer	null	null
tt0000550	1	nm0454375	self	null	['Self - King of Denmark']
tt0000550	2	nm1678676	self	null	['Self']
tt0000550	3	nm0647763	director	null	null
tt0000550	4	nm0084830	cinematographer	null	null
tt0000552	1	nm0095816	director	null	null
tt0000552	2	nm0666972	producer	producer	null
tt0000553	1	nm0659947	actor	null	null
tt0000553	2	nm0710362	actor	null	null
tt0000553	3	nm0085865	director	null	null
tt0000554	1	nm0085865	actor	null	['Cartoonist']
tt0000555	1	nm0421454	actress	null	['Pigen']
tt0000555	2	nm0488932	actor	null	['Den unge mand']
tt0000555	3	nm0526168	actor	null	['Pigens far']
tt0000555	4	nm0630737	writer	null	null
tt0000555	5	nm0333175	cinematographer	null	null
tt0000555	6	nm0470250	production_designer	null	null
tt0000556	1	nm0422149	actress	null	['Young Lady']
tt0000556	2	nm0488932	actor	null	['Boyfriend']
